hh,campaign_id,status,budget,spent,impressions,clicks,views,checkout,purchase,rev
00,120249283732990100,ACTIVE,140,1.19,25,0,0,0,0,0
00,120247059696240214,ACTIVE,120,1.18,34,2,4,0,0,0
00,120248536188000100,ACTIVE,500,1.18,18,0,0,0,0,0
00,120247391144430509,ACTIVE,200,1.17,45,1,1,0,0,0
00,120244486414960436,ACTIVE,100,1.16,41,1,1,0,1,129.45999999999998
00,120246615285510642,ACTIVE,450,1.16,35,1,1,0,0,0
00,120245823919130320,ACTIVE,360,1.15,66,0,0,0,0,0
00,120248371396300544,ACTIVE,80,1.15,19,0,0,0,0,0
00,120249525957160319,ACTIVE,360,1.11,39,1,1,0,0,0
00,120248455212740455,ACTIVE,123,1.11,8,0,0,0,0,0
00,120247956340000389,ACTIVE,255,1.11,52,1,2,0,0,0
00,120246862640090069,ACTIVE,140,1.11,29,0,0,0,0,0
00,120245706333590025,ACTIVE,140,1.09,16,0,3,0,0,0
00,120247311646990509,ACTIVE,100,1.08,28,1,1,0,0,0
00,120248137514550561,ACTIVE,100,1.08,28,1,2,0,0,0
00,120248726537670152,ACTIVE,99,1.08,33,0,0,0,0,0
00,120249433591590100,ACTIVE,300,1.07,20,0,0,0,0,0
00,120248326394610455,ACTIVE,199,1.06,27,1,1,0,0,0
00,120243753190540054,ACTIVE,811,1.05,37,0,0,0,0,0
00,120248091199340642,ACTIVE,100,1.05,10,0,0,0,0,0
00,120246191098540320,ACTIVE,480,1.04,46,0,0,0,0,0
00,120248863886910695,ACTIVE,132,1.04,14,0,0,0,0,0
00,120243063569770146,ACTIVE,210,1.03,55,2,2,0,0,0
00,120241972248380630,ACTIVE,118,1.02,26,1,1,0,0,0
00,120247040711430629,ACTIVE,100,1,26,1,4,0,0,0
00,120248466107650695,ACTIVE,112,1,31,0,0,0,0,0
00,120247971255740065,ACTIVE,200,0.98,33,1,1,1,0,0
00,120248384078440455,ACTIVE,134,0.96,23,0,0,0,0,0
00,120248321721850561,ACTIVE,150,0.95,26,0,0,0,0,0
00,120247952380210544,ACTIVE,90,0.94,20,0,0,0,0,0
00,120245124561510686,ACTIVE,80,0.94,21,0,0,0,0,0
00,120244164741820146,ACTIVE,100,0.93,19,2,5,0,0,0
00,120251150600140210,ACTIVE,82,0.92,13,0,0,0,0,0
00,120250895500810586,ACTIVE,300,0.92,51,0,1,0,0,0
00,120249151139280057,ACTIVE,100,0.92,9,0,1,0,0,0
00,120250086384210057,ACTIVE,100,0.91,10,1,1,0,0,0
00,120247849750130663,ACTIVE,401,0.9,22,0,0,0,0,0
00,120246583047400674,ACTIVE,200,0.9,28,0,0,0,0,0
00,120245840085840780,ACTIVE,80,0.88,7,0,0,0,0,0
00,120242301213710065,ACTIVE,370,0.88,36,1,1,0,0,0
00,120247453929680065,ACTIVE,154,0.88,27,0,0,0,0,0
00,120244967217480436,ACTIVE,100,0.87,40,1,2,0,0,0
00,120248089909250065,ACTIVE,92,0.86,11,1,1,0,0,0
00,120248459419470469,ACTIVE,100,0.86,14,0,0,0,0,0
00,120243951377020125,ACTIVE,150,0.85,14,0,0,0,0,0
00,120247195869560175,ACTIVE,125,0.85,8,0,0,0,0,0
00,120244015116230146,ACTIVE,500,0.83,16,0,0,0,0,0
00,120250333835580577,ACTIVE,200,0.83,21,0,1,0,0,0
00,120248253157450544,ACTIVE,150,0.82,9,0,0,0,0,0
00,120248703982740229,ACTIVE,108,0.82,12,0,0,0,0,0
00,120247199911460090,ACTIVE,100,0.81,21,0,0,0,0,0
00,120249613746370589,ACTIVE,98,0.8,15,0,1,0,0,0
00,120244761582650436,ACTIVE,100,0.8,37,2,3,1,0,0
00,120248557488550695,ACTIVE,150,0.79,36,0,0,0,0,0
00,120245602350460032,ACTIVE,100,0.79,26,1,2,0,0,0
00,120244761515050455,ACTIVE,135,0.78,15,0,0,0,0,0
00,120250554304290404,ACTIVE,200,0.78,13,1,2,0,0,0
00,120245832907270630,ACTIVE,97,0.78,7,0,0,0,0,0
00,120248415697400455,ACTIVE,125,0.78,19,0,0,0,0,0
00,120245045578670686,ACTIVE,80,0.76,12,0,0,0,0,0
00,120247645229990642,ACTIVE,100,0.76,26,0,0,0,0,0
00,120248783564770229,ACTIVE,152,0.76,4,0,0,0,0,0
00,120246270264070320,ACTIVE,200,0.75,26,0,0,0,0,0
00,120244674407170788,ACTIVE,200,0.75,22,0,0,0,0,0
00,120247767157610303,ACTIVE,68,0.74,14,1,2,0,0,0
00,120245201694450686,ACTIVE,100,0.73,14,0,0,0,0,0
00,120247193573040509,ACTIVE,200,0.73,33,0,0,0,0,0
00,120248288633070389,ACTIVE,140,0.72,15,0,1,0,0,0
00,120248204610010425,ACTIVE,190,0.72,29,3,2,0,0,0
00,120247512395240090,ACTIVE,112,0.72,12,0,0,0,0,0
00,120249412510530100,ACTIVE,135,0.71,24,1,1,0,0,0
00,120249251074290319,ACTIVE,120,0.71,35,0,1,0,0,0
00,120248288633270389,ACTIVE,100,0.71,26,1,2,0,0,0
00,120245250322490642,ACTIVE,650,0.71,23,0,0,0,0,0
00,120245848127430707,ACTIVE,300,0.7,13,0,0,0,0,0
00,120249360920670725,ACTIVE,200,0.7,4,0,0,0,1,28.98
00,120245119189080630,ACTIVE,165,0.7,26,2,1,0,0,0
00,120245800978960674,ACTIVE,300,0.69,20,1,3,1,1,29.98
00,120249286682560368,ACTIVE,300,0.68,22,0,0,0,0,0
00,120244895884300678,ACTIVE,104,0.68,19,1,1,0,0,0
00,120245738102920780,ACTIVE,80,0.68,18,1,1,0,0,0
00,120247954410960425,ACTIVE,100,0.67,13,0,0,0,0,0
00,120246819645500629,ACTIVE,100,0.66,15,1,0,0,0,0
00,120240901145360175,ACTIVE,325,0.66,32,0,0,0,0,0
00,120248275852660561,ACTIVE,360,0.66,28,1,1,0,0,0
00,120244164847370788,ACTIVE,85,0.65,5,0,0,0,0,0
00,120249013372050100,ACTIVE,100,0.65,21,2,2,0,0,0
00,120248025748300126,ACTIVE,100,0.64,18,0,0,0,0,0
00,120248229485400425,ACTIVE,600,0.64,35,0,0,0,0,0
00,120244034916020436,ACTIVE,155,0.63,29,1,2,1,1,41.98
00,120247322669120509,ACTIVE,200,0.62,25,0,0,0,0,0
00,120248540698960725,ACTIVE,100,0.62,7,0,0,0,0,0
00,120245380137820707,ACTIVE,320,0.61,15,1,0,0,0,0
00,120248808316220695,ACTIVE,100,0.61,10,1,2,0,0,0
00,120245011207100320,ACTIVE,750,0.61,29,0,0,0,0,0
00,120250447831790013,ACTIVE,80,0.6,10,0,0,0,0,0
00,120245848127390707,ACTIVE,500,0.6,20,2,2,0,0,0
00,120247501239270509,ACTIVE,500,0.59,19,1,1,0,0,0
00,120243144633320146,ACTIVE,100,0.59,28,1,1,0,0,0
00,120246465900910677,ACTIVE,100,0.59,21,0,0,0,0,0
00,120247568032920509,ACTIVE,100,0.57,18,0,0,0,0,0
00,120249711938840319,ACTIVE,100,0.57,12,0,0,0,0,0
00,120251360834810166,ACTIVE,100,0.56,9,1,1,0,0,0
00,120248783564790229,ACTIVE,64,0.55,5,0,0,0,0,0
00,120248737641910722,ACTIVE,68,0.54,18,0,0,0,0,0
00,120243772698880146,ACTIVE,100,0.53,15,0,1,0,0,0
00,120246309078080032,ACTIVE,200,0.53,12,0,0,0,0,0
00,120244486325980436,ACTIVE,100,0.53,19,0,1,0,0,0
00,120247568068640509,ACTIVE,100,0.53,33,1,0,0,0,0
00,120245435760750780,ACTIVE,200,0.53,15,0,0,0,0,0
